平溪,Pingqi
金山,Jinshan
萬里,Wanli
大安,Da'an
中山,Zhongshan
南港,Nangang
內湖,Neihu
大溪,Daqi
大園,Dayuan
中,Zhong
東,Dong
南,Nan
西,Xi
北,Bei
大里,Dali
東山,Dongshan
大內,Danei
西港,Xigang
安南,Annan
安平,Anping
中西,Zhongxi
林園,Linyuan
大寮,Daliao
田寮,Tianliao
湖內,Hunei
頭城,Toucheng
竹北,Zhubei
新埔,Xinpu
竹東,Zhudong
北埔,Beipu
竹南,Zhunan
大湖,Dahu
西湖,Xihu
鹿港,Lugang
溪湖,Qihu
田中,Tianzhong
大城,Dacheng
埔里,Puli
竹山,Zhushan
中寮,Zhongliao
水里,Shuili
北港,Beigang
林內,Linnei
水林,Shuilin
大林,Dalin
新港,Xingang
東石,Dongdan
中埔,Zhongpu
大埔,Dapu
東港,Donggang
里港,Ligang
內埔,Neipu
竹田,Zhutian
新園,Xinyuan
新城,Xincheng
湖西,Huxi
金城,Jincheng
金湖,Jinhu
