中和,Zhonghe
永和,Yonghe
樹林,Shulin
泰山,Taishan
林口,Linkou
石門,Danmen
平溪,Pingqi
金山,Jinshan
萬里,Wanli
大安,Da'an
中山,Zhongshan
南港,Nangang
內湖,Neihu
大溪,Daqi
大園,Dayuan
龍潭,Longtan
平鎮,Pingzhen
中,Zhong
東,Dong
南,Nan
西,Xi
北,Bei
西屯,Xitun
南屯,Nantun
北屯,Beitun
大甲,Dajia
沙鹿,Shalu
潭子,Tanzi
新社,Xinshe
石岡,Dangang
太平,Taiping
大里,Dali
和平,Heping
新營,Xinying
鹽水,Yanshui
東山,Dongshan
六甲,Liujia
大內,Danei
西港,Xigang
北門,Beimen
新化,Xinhua
山上,Shanshang
南化,Nanhua
安南,Annan
安平,Anping
中西,Zhongxi
新興,Xinxing
林園,Linyuan
大寮,Daliao
大樹,Dashu
大社,Dashe
仁武,Renwu
岡山,Gangshan
橋頭,Qiaotou
田寮,Tianliao
湖內,Hunei
永安,Yong'an
內門,Neimen
頭城,Toucheng
竹北,Zhubei
關西,Guanxi
新埔,Xinpu
竹東,Zhudong
湖口,Hukou
新豐,Xinfeng
北埔,Beipu
五峰,Wufeng
竹南,Zhunan
大湖,Dahu
三義,Sanyi
西湖,Xihu
泰安,Tai'an
鹿港,Lugang
和美,Hemei
北斗,Beidou
溪湖,Qihu
田中,Tianzhong
二林,Erlin
埔鹽,Puyan
社頭,Shetou
二水,Ershui
埤頭,Pitou
大城,Dacheng
溪州,Qizhou
埔里,Puli
竹山,Zhushan
中寮,Zhongliao
水里,Shuili
斗六,Douliu
斗南,Dounan
北港,Beigang
大埤,Dapi
林內,Linnei
臺西,Taixi
口湖,Kouhu
水林,Shuilin
大林,Dalin
溪口,Qikou
新港,Xingang
東石,Dongdan
義竹,Yizhu
水上,Shuishang
中埔,Zhongpu
大埔,Dapu
東港,Donggang
里港,Ligang
鹽埔,Yanpu
內埔,Neipu
竹田,Zhutian
新埤,Xinpi
新園,Xinyuan
南州,Nanzhou
泰武,Taiwu
臺東,Taidong
關山,Guanshan
大武,Dawu
金峰,Jinfeng
蘭嶼,Lanyu
新城,Xincheng
湖西,Huxi
西嶼,Xiyu
七美,Qimei
金城,Jincheng
金湖,Jinhu
金沙,Jinsha
