板橋,Banqiao
三重,Sanchong
中和,Zhonghe
永和,Yonghe
新莊,Xinzhuang
新店,Xindian
樹林,Shulin
鶯歌,Yingge
三峽,Sanxia
淡水,Danshui
汐止,Xizhi
瑞芳,Ruifang
土城,Tucheng
蘆洲,Luzhou
五股,Wugu
泰山,Taishan
林口,Linkou
深坑,Shenkeng
石碇,Danding
坪林,Pinglin
三芝,Sanzhi
石門,Danmen
八里,Bali
平溪,Pingqi
雙溪,Shuangqi
貢寮,Gongliao
金山,Jinshan
萬里,Wanli
烏來,Wulai
松山,Songshan
信義,Xinyi
大安,Da'an
中山,Zhongshan
中正,Zhongzheng
大同,Datong
萬華,Wanhua
文山,Wenshan
南港,Nangang
內湖,Neihu
士林,Shilin
北投,Beitou
桃園,Taoyuan
中壢,Zhongli
大溪,Daqi
楊梅,Yangmei
蘆竹,Luzhu
大園,Dayuan
龜山,Guishan
八德,Bade
龍潭,Longtan
平鎮,Pingzhen
新屋,Xinwu
觀音,Guanyin
復興,Fuxing
中,Zhong
東,Dong
南,Nan
西,Xi
北,Bei
西屯,Xitun
南屯,Nantun
北屯,Beitun
豐原,Fengyuan
東勢,Dongshi
大甲,Dajia
清水,Qingshui
沙鹿,Shalu
梧棲,Wuqi
后里,Houli
神岡,Shengang
潭子,Tanzi
大雅,Daya
新社,Xinshe
石岡,Dangang
外埔,Waipu
烏日,Wuri
大肚,Dadu
龍井,Longjing
霧峰,Wufeng
太平,Taiping
大里,Dali
和平,Heping
新營,Xinying
鹽水,Yanshui
白河,Baihe
柳營,Liuying
後壁,Houbi
東山,Dongshan
麻豆,Madou
下營,Xiaying
六甲,Liujia
官田,Guantian
大內,Danei
佳里,Jiali
學甲,Xuejia
西港,Xigang
七股,Qigu
將軍,Jiangjun
北門,Beimen
新化,Xinhua
善化,Shanhua
新市,Xinshi
安定,Anding
山上,Shanshang
玉井,Yujing
楠西,Nanxi
南化,Nanhua
左鎮,Zuozhen
仁德,Rende
歸仁,Guiren
關廟,Guanmiao
龍崎,Longqi
永康,Yongkang
安南,Annan
安平,Anping
中西,Zhongxi
鹽埕,Yancheng
鼓山,Gushan
左營,Zuoying
楠梓,Nanzi
三民,Sanmin
新興,Xinxing
前金,Qianjin
苓雅,Lingya
前鎮,Qianzhen
旗津,Qijin
小港,Xiaogang
鳳山,Fengshan
林園,Linyuan
大寮,Daliao
大樹,Dashu
大社,Dashe
仁武,Renwu
鳥松,Niaosong
岡山,Gangshan
橋頭,Qiaotou
燕巢,Yanchao
田寮,Tianliao
阿蓮,Alian
路竹,Luzhu
湖內,Hunei
茄萣,Qieding
永安,Yong'an
彌陀,Mituo
梓官,Ziguan
旗山,Qishan
美濃,Meinong
六龜,Liugui
甲仙,Jiaxian
杉林,Shalin
內門,Neimen
茂林,Maolin
桃源,Taoyuan
那瑪夏,Namaxia
宜蘭,Yilan
羅東,Luodong
蘇澳,Su'ao
頭城,Toucheng
礁溪,Jiaoqi
壯圍,Zhuangwei
員山,Yuanshan
冬山,Dongshan
五結,Wujie
三星,Sanxing
南澳,Nan'ao
竹北,Zhubei
關西,Guanxi
新埔,Xinpu
竹東,Zhudong
湖口,Hukou
橫山,Hengshan
新豐,Xinfeng
芎林,Qionglin
寶山,Baoshan
北埔,Beipu
峨眉,Emei
尖石,Jiandan
五峰,Wufeng
苗栗,Miaoli
頭份,Toufen
苑裡,Yuanli
通霄,Tongxiao
竹南,Zhunan
後龍,Houlong
卓蘭,Zhuolan
大湖,Dahu
公館,Gongguan
銅鑼,Tongluo
南庄,Nanzhuang
頭屋,Touwu
三義,Sanyi
西湖,Xihu
造橋,Zaoqiao
三灣,Sanwan
獅潭,Shitan
泰安,Tai'an
彰化,Zhanghua
員林,Yuanlin
鹿港,Lugang
和美,Hemei
北斗,Beidou
溪湖,Qihu
田中,Tianzhong
二林,Erlin
線西,Xianxi
伸港,Shengang
福興,Fuxing
秀水,Xiushui
花壇,Huatan
芬園,Fenyuan
大村,Dacun
埔鹽,Puyan
埔心,Puxin
永靖,Yongjing
社頭,Shetou
二水,Ershui
田尾,Tianwei
埤頭,Pitou
芳苑,Fangyuan
大城,Dacheng
竹塘,Zhutang
溪州,Qizhou
南投,Nantou
埔里,Puli
草屯,Caotun
竹山,Zhushan
集集,Jiji
名間,Mingjian
鹿谷,Lugu
中寮,Zhongliao
魚池,Yuchi
國姓,Guoxing
水里,Shuili
仁愛,Ren'ai
斗六,Douliu
