平溪,Pingci
金山,Jinshan
萬里,Wanli
大安,Da'an
中山,Jhongshan
南港,Nangang
內湖,Neihu
大溪,Daci
大園,Dayuan
中,Jhong
東,Dong
南,Nan
西,Si
北,Bei
大里,Dali
東山,Dongshan
大內,Danei
西港,Sigang
安南,Annan
安平,Anping
中西,Jhongsi
林園,Linyuan
大寮,Daliao
田寮,Tianliao
湖內,Hunei
頭城,Toucheng
竹北,Jhubei
新埔,Sinpu
竹東,Jhudong
北埔,Beipu
竹南,Jhunan
大湖,Dahu
西湖,Sihu
鹿港,Lugang
溪湖,Cihu
田中,Tianjhong
大城,Dacheng
埔里,Puli
竹山,Jhushan
中寮,Jhongliao
水里,Shueili
北港,Beigang
林內,Linnei
水林,Shueilin
大林,Dalin
新港,Singang
東石,Dongdan
中埔,Jhongpu
大埔,Dapu
東港,Donggang
里港,Ligang
內埔,Neipu
竹田,Jhutian
新園,Sinyuan
新城,Sincheng
湖西,Husi
金城,Jincheng
金湖,Jinhu
