中和,Jhonghe
永和,Yonghe
樹林,Shulin
泰山,Taishan
林口,Linkou
石門,Danmen
平溪,Pingci
金山,Jinshan
萬里,Wanli
大安,Da'an
中山,Jhongshan
南港,Nangang
內湖,Neihu
大溪,Daci
大園,Dayuan
龍潭,Longtan
平鎮,Pingjhen
中,Jhong
東,Dong
南,Nan
西,Si
北,Bei
西屯,Situn
南屯,Nantun
北屯,Beitun
大甲,Dajia
沙鹿,Shalu
潭子,Tanzih
新社,Sinshe
石岡,Dangang
太平,Taiping
大里,Dali
和平,Heping
新營,Sinying
鹽水,Yanshuei
東山,Dongshan
六甲,Lioujia
大內,Danei
西港,Sigang
北門,Beimen
新化,Sinhua
山上,Shanshang
南化,Nanhua
安南,Annan
安平,Anping
中西,Jhongsi
新興,Sinsing
林園,Linyuan
大寮,Daliao
大樹,Dashu
大社,Dashe
仁武,Renwu
岡山,Gangshan
橋頭,Ciaotou
田寮,Tianliao
湖內,Hunei
永安,Yong'an
內門,Neimen
頭城,Toucheng
竹北,Jhubei
關西,Guansi
新埔,Sinpu
竹東,Jhudong
湖口,Hukou
新豐,Sinfong
北埔,Beipu
五峰,Wufong
竹南,Jhunan
大湖,Dahu
三義,Sanyi
西湖,Sihu
泰安,Tai'an
鹿港,Lugang
和美,Hemei
北斗,Beidou
溪湖,Cihu
田中,Tianjhong
二林,Erlin
埔鹽,Puyan
社頭,Shetou
二水,Ershuei
埤頭,Pitou
大城,Dacheng
溪州,Cijhou
埔里,Puli
竹山,Jhushan
中寮,Jhongliao
水里,Shueili
斗六,Douliou
斗南,Dounan
北港,Beigang
大埤,Dapi
林內,Linnei
臺西,Taisi
口湖,Kouhu
水林,Shueilin
大林,Dalin
溪口,Cikou
新港,Singang
東石,Dongdan
義竹,Yijhu
水上,Shueishang
中埔,Jhongpu
大埔,Dapu
東港,Donggang
里港,Ligang
鹽埔,Yanpu
內埔,Neipu
竹田,Jhutian
新埤,Sinpi
新園,Sinyuan
南州,Nanjhou
泰武,Taiwu
臺東,Taidong
關山,Guanshan
大武,Dawu
金峰,Jinfong
蘭嶼,Lanyu
新城,Sincheng
湖西,Husi
西嶼,Siyu
七美,Cimei
金城,Jincheng
金湖,Jinhu
金沙,Jinsha
