板橋,Banciao
三重,Sanchong
中和,Jhonghe
永和,Yonghe
新莊,Sinjhuang
新店,Sindian
樹林,Shulin
鶯歌,Yingge
三峽,Sansia
淡水,Danshuei
汐止,Sijhih
瑞芳,Rueifang
土城,Tucheng
蘆洲,Lujhou
五股,Wugu
泰山,Taishan
林口,Linkou
深坑,Shenkeng
石碇,Danding
坪林,Pinglin
三芝,Sanjhih
石門,Danmen
八里,Bali
平溪,Pingci
雙溪,Shuangci
貢寮,Gongliao
金山,Jinshan
萬里,Wanli
烏來,Wulai
松山,Songshan
信義,Sinyi
大安,Da'an
中山,Jhongshan
中正,Jhongjheng
大同,Datong
萬華,Wanhua
文山,Wunshan
南港,Nangang
內湖,Neihu
士林,Shihlin
北投,Beitou
桃園,Taoyuan
中壢,Jhongli
大溪,Daci
楊梅,Yangmei
蘆竹,Lujhu
大園,Dayuan
龜山,Gueishan
八德,Bade
龍潭,Longtan
平鎮,Pingjhen
新屋,Sinwu
觀音,Guanyin
復興,Fusing
中,Jhong
東,Dong
南,Nan
西,Si
北,Bei
西屯,Situn
南屯,Nantun
北屯,Beitun
豐原,Fongyuan
東勢,Dongshih
大甲,Dajia
清水,Cingshuei
沙鹿,Shalu
梧棲,Wuci
后里,Houli
神岡,Shengang
潭子,Tanzih
大雅,Daya
新社,Sinshe
石岡,Dangang
外埔,Waipu
烏日,Wurih
大肚,Dadu
龍井,Longjing
霧峰,Wufong
太平,Taiping
大里,Dali
和平,Heping
新營,Sinying
鹽水,Yanshuei
白河,Baihe
柳營,Liouying
後壁,Houbi
東山,Dongshan
麻豆,Madou
下營,Siaying
六甲,Lioujia
官田,Guantian
大內,Danei
佳里,Jiali
學甲,Syuejia
西港,Sigang
七股,Cigu
將軍,Jiangjyun
北門,Beimen
新化,Sinhua
善化,Shanhua
新市,Sinshih
安定,Anding
山上,Shanshang
玉井,Yujing
楠西,Nansi
南化,Nanhua
左鎮,Zuojhen
仁德,Rende
歸仁,Gueiren
關廟,Guanmiao
龍崎,Longci
永康,Yongkang
安南,Annan
安平,Anping
中西,Jhongsi
鹽埕,Yancheng
鼓山,Gushan
左營,Zuoying
楠梓,Nanzih
三民,Sanmin
新興,Sinsing
前金,Cianjin
苓雅,Lingya
前鎮,Cianjhen
旗津,Cijin
小港,Siaogang
鳳山,Fongshan
林園,Linyuan
大寮,Daliao
大樹,Dashu
大社,Dashe
仁武,Renwu
鳥松,Niaosong
岡山,Gangshan
橋頭,Ciaotou
燕巢,Yanchao
田寮,Tianliao
阿蓮,Alian
路竹,Lujhu
湖內,Hunei
茄萣,Cieding
永安,Yong'an
彌陀,Mituo
梓官,Zihguan
旗山,Cishan
美濃,Meinong
六龜,Liouguei
甲仙,Jiasian
杉林,Shalin
內門,Neimen
茂林,Maolin
桃源,Taoyuan
那瑪夏,Namasia
宜蘭,Yilan
羅東,Luodong
蘇澳,Su'ao
頭城,Toucheng
礁溪,Jiaoci
壯圍,Jhuangwei
員山,Yuanshan
冬山,Dongshan
五結,Wujie
三星,Sansing
南澳,Nan'ao
