平溪,Pingchi
金山,Chinshan
萬里,Wanli
大安,Ta-an
中山,Chungshan
南港,Nankang
內湖,Neihu
大溪,Tachi
大園,Tayuan
中,Chung
東,Tung
南,Nan
西,Hsi
北,Pei
大里,Tali
東山,Tungshan
大內,Tanei
西港,Hsikang
安南,Annan
安平,Anping
中西,Chunghsi
林園,Linyuan
大寮,Taliao
田寮,Tienliao
湖內,Hunei
頭城,Toucheng
竹北,Chupei
新埔,Hsinpu
竹東,Chutung
北埔,Peipu
竹南,Chunan
大湖,Tahu
西湖,Hsihu
鹿港,Lukang
溪湖,Chihu
田中,Tienchung
大城,Tacheng
埔里,Puli
竹山,Chushan
中寮,Chungliao
水里,Shuili
北港,Peikang
林內,Linnei
水林,Shuilin
大林,Talin
新港,Hsinkang
東石,Tungtan
中埔,Chungpu
大埔,Tapu
東港,Tungkang
里港,Likang
內埔,Neipu
竹田,Chutien
新園,Hsinyuan
新城,Hsincheng
湖西,Huhsi
金城,Chincheng
金湖,Chinhu
