中和,Chungho
永和,Yungho
樹林,Shulin
泰山,Taishan
林口,Linkou
石門,Tanmen
平溪,Pingchi
金山,Chinshan
萬里,Wanli
大安,Ta-an
中山,Chungshan
南港,Nankang
內湖,Neihu
大溪,Tachi
大園,Tayuan
龍潭,Lungtan
平鎮,Pingchen
中,Chung
東,Tung
南,Nan
西,Hsi
北,Pei
西屯,Hsitun
南屯,Nantun
北屯,Peitun
大甲,Tachia
沙鹿,Shalu
潭子,Tantzu
新社,Hsinshe
石岡,Tankang
太平,Taiping
大里,Tali
和平,Hoping
新營,Hsinying
鹽水,Yenshui
東山,Tungshan
六甲,Liuchia
大內,Tanei
西港,Hsikang
北門,Peimen
新化,Hsinhua
山上,Shanshang
南化,Nanhua
安南,Annan
安平,Anping
中西,Chunghsi
新興,Hsinhsing
林園,Linyuan
大寮,Taliao
大樹,Tashu
大社,Tashe
仁武,Jenwu
岡山,Kangshan
橋頭,Chiaotou
田寮,Tienliao
湖內,Hunei
永安,Yung-an
內門,Neimen
頭城,Toucheng
竹北,Chupei
關西,Kuanhsi
新埔,Hsinpu
竹東,Chutung
湖口,Hukou
新豐,Hsinfeng
北埔,Peipu
五峰,Wufeng
竹南,Chunan
大湖,Tahu
三義,San-i
西湖,Hsihu
泰安,Tai-an
鹿港,Lukang
和美,Homei
北斗,Peitou
溪湖,Chihu
田中,Tienchung
二林,Erhlin
埔鹽,Puyen
社頭,Shetou
二水,Erhshui
埤頭,Pitou
大城,Tacheng
溪州,Chichou
埔里,Puli
竹山,Chushan
中寮,Chungliao
水里,Shuili
斗六,Touliu
斗南,Tounan
北港,Peikang
大埤,Tapi
林內,Linnei
臺西,Taihsi
口湖,Kouhu
水林,Shuilin
大林,Talin
溪口,Chikou
新港,Hsinkang
東石,Tungtan
義竹,Ichu
水上,Shuishang
中埔,Chungpu
大埔,Tapu
東港,Tungkang
里港,Likang
鹽埔,Yenpu
內埔,Neipu
竹田,Chutien
新埤,Hsinpi
新園,Hsinyuan
南州,Nanchou
泰武,Taiwu
臺東,Taitung
關山,Kuanshan
大武,Tawu
金峰,Chinfeng
蘭嶼,Lanyu
新城,Hsincheng
湖西,Huhsi
西嶼,Hsiyu
七美,Chimei
金城,Chincheng
金湖,Chinhu
金沙,Chinsha
